epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.8204,2.05269,3.54915,2.11862,0.00317,0.52055,0.06776,0.03005,1.86565,3.75273,2.2294,0.00022,0.00022,0.00022
2,29.4346,1.97995,3.33891,2.03794,0.00383,0.63014,0.10894,0.0491,1.92153,3.62355,2.02959,0.000455446,0.000455446,0.000455446
3,39.8666,1.78292,2.8931,1.83522,0.25059,0.13699,0.06535,0.02619,2.25181,3.68555,2.30707,0.00068614,0.00068614,0.00068614
4,50.9656,1.8935,2.96835,1.9681,0.12351,0.12329,0.03712,0.01042,2.40359,4.0033,2.83314,0.000912082,0.000912082,0.000912082
5,61.5258,1.82107,2.692,1.89685,0.22174,0.12329,0.09063,0.03092,2.23302,7.57836,2.66466,0.00113327,0.00113327,0.00113327
6,71.8017,1.93816,2.70306,1.96836,0.06723,0.08219,0.05721,0.02769,2.38505,9.50143,2.9041,0.00134971,0.00134971,0.00134971
7,81.9212,1.81155,2.63362,1.87806,0.09464,0.13699,0.0319,0.0057,2.9659,13.8208,3.84513,0.0015614,0.0015614,0.0015614
8,92.5239,1.84851,2.61984,1.88381,0.10656,0.17808,0.03597,0.00718,3.05132,56.1338,4.50489,0.00176833,0.00176833,0.00176833
9,102.674,1.75851,2.45118,1.8468,0.11111,0.21918,0.03819,0.01001,2.82356,54.1572,4.25022,0.0018416,0.0018416,0.0018416
10,112.766,1.88383,2.52768,1.93585,0.13378,0.21918,0.07546,0.02567,2.9029,12.5623,3.42073,0.0018218,0.0018218,0.0018218
11,122.872,1.87353,2.39179,1.87831,0.08518,0.13699,0.03572,0.00954,3.01747,20.9151,3.48743,0.001802,0.001802,0.001802
12,133.464,1.79035,2.42805,1.87767,0.08257,0.12329,0.0286,0.00797,2.75147,44.2803,3.60996,0.0017822,0.0017822,0.0017822
13,143.663,1.839,2.38472,1.88591,0.01042,0.23288,0.00621,0.00241,2.44675,93.7362,3.16047,0.0017624,0.0017624,0.0017624
14,153.453,1.82681,2.39975,1.87982,0.28307,0.19178,0.13728,0.05381,2.38659,2.90868,2.50953,0.0017426,0.0017426,0.0017426
15,162.81,1.71871,2.30527,1.7874,0.37654,0.17808,0.13727,0.07082,2.05523,3.22278,2.30782,0.0017228,0.0017228,0.0017228
16,172.401,1.77531,2.25768,1.8507,0.3254,0.17808,0.15856,0.06786,2.12313,3.34658,2.33334,0.001703,0.001703,0.001703
17,179.784,1.77776,2.30447,1.83512,0.17225,0.24658,0.08858,0.03085,2.35415,4.02849,2.57127,0.0016832,0.0016832,0.0016832
18,189.029,1.77118,2.22571,1.83044,0.2855,0.31507,0.21246,0.10037,2.19362,4.52771,2.43597,0.0016634,0.0016634,0.0016634
19,198.358,1.73552,2.22754,1.75444,0.32148,0.24658,0.17018,0.09321,2.00698,6.78547,2.09967,0.0016436,0.0016436,0.0016436
20,207.967,1.79452,2.15351,1.76476,0.33572,0.24658,0.19711,0.07693,2.22131,4.08885,2.34484,0.0016238,0.0016238,0.0016238
21,214.183,1.70433,2.19115,1.76735,0.18238,0.24658,0.15497,0.07923,2.13034,2.81821,2.06307,0.001604,0.001604,0.001604
22,222.115,1.73662,2.28213,1.80337,0.39525,0.2239,0.25854,0.11359,2.02757,2.60925,1.99567,0.0015842,0.0015842,0.0015842
23,229.335,1.75151,2.23123,1.8146,0.24182,0.32877,0.17918,0.10153,1.94431,2.76742,2.03632,0.0015644,0.0015644,0.0015644
24,239.057,1.7473,2.22121,1.87339,0.45171,0.38356,0.31232,0.15622,1.98697,2.86407,2.09277,0.0015446,0.0015446,0.0015446
25,248.256,1.72167,2.22186,1.75948,0.27804,0.32877,0.21663,0.11365,1.99715,2.97525,2.05347,0.0015248,0.0015248,0.0015248
26,257.009,1.71855,2.21881,1.83015,0.44813,0.24658,0.20871,0.10619,1.98633,2.69784,2.00697,0.001505,0.001505,0.001505
27,265.597,1.66414,2.10983,1.73506,0.36529,0.27397,0.17992,0.09195,2.06906,3.34282,2.11559,0.0014852,0.0014852,0.0014852
28,273.778,1.72395,2.13913,1.82302,0.44464,0.27397,0.27343,0.17163,1.81785,2.4709,1.9401,0.0014654,0.0014654,0.0014654
29,280.141,1.58957,2.07131,1.70991,0.34433,0.35973,0.27587,0.13647,2.01385,2.30779,2.02828,0.0014456,0.0014456,0.0014456
30,285.246,1.60158,1.98606,1.68269,0.47714,0.35616,0.29366,0.15072,1.92702,2.34642,2.00921,0.0014258,0.0014258,0.0014258
31,291.788,1.65171,1.94302,1.71931,0.39108,0.34247,0.31343,0.17054,1.94309,2.33454,1.9644,0.001406,0.001406,0.001406
32,298.123,1.64955,2.0792,1.73014,0.35692,0.47945,0.31468,0.16356,1.85109,2.40858,1.90226,0.0013862,0.0013862,0.0013862
33,304.921,1.54362,1.89727,1.66508,0.43302,0.38356,0.3116,0.18208,1.68932,2.23137,1.72935,0.0013664,0.0013664,0.0013664
34,312.977,1.60697,2.01041,1.77084,0.43535,0.27397,0.25424,0.13871,1.80373,2.49452,1.78945,0.0013466,0.0013466,0.0013466
35,320.542,1.74025,2.09232,1.79561,0.43323,0.27397,0.24124,0.12801,1.89577,2.53313,1.92195,0.0013268,0.0013268,0.0013268
