epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8671,2.0731,3.49679,1.99695,0.00333,0.54795,0.03833,0.01679,2.07693,3.72813,2.20314,0.00022,0.00022,0.00022
2,22.8793,2.06831,3.47453,1.96416,0.00467,0.76712,0.09696,0.03388,2.09536,3.68648,1.97586,0.000455446,0.000455446,0.000455446
3,32.1993,1.89247,2.9658,1.80654,0.00392,0.47945,0.06553,0.02759,2.28954,3.68383,2.17941,0.00068614,0.00068614,0.00068614
4,41.5612,1.91272,2.94588,1.90576,0.06798,0.0411,0.02185,0.00772,2.82322,4.2692,2.76214,0.000912082,0.000912082,0.000912082
5,50.4383,1.92301,2.79129,1.90452,0.10486,0.16438,0.05495,0.01578,2.32405,4.69973,2.76137,0.00113327,0.00113327,0.00113327
6,59.4669,1.99841,2.759,1.95546,0.27645,0.05479,0.05132,0.0139,2.54115,4.59308,2.91577,0.00134971,0.00134971,0.00134971
7,68.2809,1.89853,2.61005,1.87418,0.09623,0.15463,0.04231,0.01029,3.16117,6.47387,3.62882,0.0015614,0.0015614,0.0015614
8,77.3136,1.94411,2.64537,1.91173,0.04463,0.12329,0.01204,0.0022,3.31552,20.3943,5.83925,0.00176833,0.00176833,0.00176833
9,86.0256,1.92903,2.56156,1.86089,0.16292,0.08219,0.03236,0.00937,3.77926,3.96962,6.0003,0.0018416,0.0018416,0.0018416
10,94.7919,1.96085,2.56894,1.90675,0.01062,0.16438,0.00477,0.0012,3.19884,23.1308,3.91799,0.0018218,0.0018218,0.0018218
11,102.898,1.87735,2.48516,1.81462,0.00873,0.0411,0.00167,0.00038,4.12215,18.2955,6.14637,0.001802,0.001802,0.001802
12,111.746,1.87755,2.48851,1.87923,0.00482,0.23288,0.00325,0.00105,3.06911,96.0641,3.56035,0.0017822,0.0017822,0.0017822
13,120.667,1.84995,2.44001,1.82296,0.00335,0.27109,0.00219,0.00087,2.68346,160.604,2.73118,0.0017624,0.0017624,0.0017624
14,129.008,1.85113,2.42432,1.81824,0.15513,0.20548,0.07274,0.0276,2.62389,3.38274,2.5637,0.0017426,0.0017426,0.0017426
15,137.672,1.84521,2.34324,1.79146,0.24501,0.19178,0.14509,0.05194,2.33225,4.47027,2.31077,0.0017228,0.0017228,0.0017228
16,145.513,1.83457,2.30715,1.81774,0.08152,0.21918,0.04691,0.01403,2.60953,7.96611,2.65237,0.001703,0.001703,0.001703
17,152.797,1.82108,2.3355,1.8017,0.13797,0.13699,0.03124,0.00817,3.09513,7.48265,3.10689,0.0016832,0.0016832,0.0016832
18,161.568,1.87459,2.30424,1.83335,0.28325,0.30137,0.25839,0.10245,2.18006,5.74827,2.24627,0.0016634,0.0016634,0.0016634
19,169.072,1.83314,2.26868,1.75687,0.29077,0.21918,0.19587,0.10711,2.02526,4.6877,2.06583,0.0016436,0.0016436,0.0016436
20,174.548,1.82349,2.16543,1.74312,0.08317,0.16438,0.03636,0.01184,2.46369,3.41341,2.35356,0.0016238,0.0016238,0.0016238
21,179.868,1.75698,2.19605,1.74297,0.40933,0.21918,0.25143,0.13584,2.06215,2.63639,2.0136,0.001604,0.001604,0.001604
22,188.261,1.81854,2.27305,1.78681,0.32816,0.32877,0.21432,0.10734,2.06776,3.26115,2.08762,0.0015842,0.0015842,0.0015842
23,194.146,1.84094,2.27123,1.8215,0.33951,0.25355,0.17738,0.09136,2.20393,3.3671,2.24539,0.0015644,0.0015644,0.0015644
24,198.465,1.81906,2.30025,1.80196,0.33082,0.30137,0.25039,0.12421,2.16653,2.69016,2.14912,0.0015446,0.0015446,0.0015446
25,203.847,1.77011,2.18275,1.70302,0.35215,0.32877,0.27376,0.118,2.0113,2.36823,1.92864,0.0015248,0.0015248,0.0015248
26,210.746,1.81679,2.33728,1.83845,0.37792,0.31507,0.29098,0.1325,2.01721,2.49636,2.10265,0.001505,0.001505,0.001505
27,216.934,1.75831,2.08295,1.72678,0.32138,0.40872,0.29663,0.13991,1.86851,2.36332,1.84048,0.0014852,0.0014852,0.0014852
